field_id,common_name,species_name,family,order,common_group,sp_code,,master_trawl,notes,Common group sorting order,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
florida pompano,"pompano, florida",Trachinotus carolinus,Carangidae,Perciformes,Pisces,Tra car,,X,added to trawl datasheet from GOM data,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
permit,permit,Trachinotus falcatus,Carangidae,Perciformes,Pisces,Tra fal,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scad,"scad, rough",Trachurus lathami,Carangidae,Perciformes,Pisces,Tra lat,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pompano,pompano spp.,Trachinotus spp.,Carangidae,Perciformes,Pisces,Tra spp.,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sunfish,"sunfish, unid spp.",,Centrarchidae,Perciformes,Pisces,Centrarchidae,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
orange spotted sunfish,"sunfish, orange spotted",Lepomis humilis,Centrarchidae,Perciformes,Pisces,Lep hum,,X,added to species list and trawl sheet from GOM data,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bluegill,bluegill,Lepomis macrochirus,Centrarchidae,Perciformes,Pisces,Lep mac,,X,added to species list and trawl sheet from GOM data,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redear sunfish,"sunfish, redear",Lepomis microlophis,Centrarchidae,Perciformes,Pisces,Lep mic,,X,added to species list and trawl sheet from GOM data,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
largemouth bass,"bass, largemouth",Micropterus salmoides,Centrarchidae,Perciformes,Pisces,Mic sal,,X,added to species list and trawl sheet from GOM data,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
foureye butterflyfish,"butterflyfish, foureye",Chaetodon capistratus,Chaetodontidae,Perciformes,Pisces,Cha cap,,X,added to species list and trawl sheet from GOM data,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spotfin butterfly,"butterflyfish, spotfin",Chaetodon ocellatus,Chaetodontidae,Perciformes,Pisces,Cha oce,,X,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
butterflyfish sp,"butterflyfish, unid spp.",,Chaetodontidae,Perciformes,Pisces,Chaetodontidae,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alewife,alewife,Alosa pseudoharengus,Clupeidae,Clupeiformes,Pisces,Alo pse,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
